Player_id,Team_id,PTS,RPG,AST,STL,BLK,TOV
1,28,11.6,2.0,3.2,0.7,0.2,1.9
2,23,15.2,7.2,3.2,0.9,1.3,1.3
3,20,16.6,8.4,1.7,0.7,1.3,1.0
4,6,7.4,2.8,1.1,0.8,0.1,0.8
5,24,6.3,6.6,0.5,0.5,1.5,1.1
6,19,6.5,4.6,0.7,0.3,0.8,1.0
7,2,5.6,4.6,0.8,0.9,0.8,0.7
8,18,9.3,6.1,1.6,0.6,0.8,1.5
9,12,13.8,13.5,0.7,0.9,1.9,1.5
10,15,7.8,3.3,3.0,1.2,0.3,1.1
11,11,4.4,1.9,3.5,0.4,0.1,1.3
12,8,3.4,3.8,1.0,0.8,0.4,0.7
13,15,6.3,8.1,2.7,0.6,1.7,1.6
14,19,24.4,10.2,2.2,1.5,2.9,1.4
15,8,10.7,2.6,0.8,0.7,0.1,0.5
16,4,6.6,4.5,0.5,0.2,0.3,0.9
17,14,13.3,3.2,1.7,0.5,0.1,1.5
18,21,7.0,2.0,2.0,0.6,0.2,0.9
19,26,13.9,3.1,1.8,1.1,0.2,1.4
20,11,12.1,2.9,1.7,0.9,0.2,1.7
21,20,4.8,6.4,0.3,0.3,1.5,0.8
22,21,21.9,7.6,5.3,0.9,0.5,2.3
23,6,9.0,2.7,0.9,0.4,0.1,1.0
24,4,8.7,4.3,2.9,0.4,0.3,1.6
25,7,15.3,3.8,3.1,1.2,0.3,2.0
26,26,10.6,4.9,1.3,0.5,0.4,1.0
27,24,17.0,3.9,5.2,1.4,0.2,3.0
28,20,6.7,1.5,2.3,0.5,0.1,0.8
29,6,17.2,7.4,0.7,0.6,1.8,1.4
30,11,7.2,3.8,0.4,0.2,0.2,0.8
31,22,11.8,6.8,1.3,0.6,0.2,1.3
32,12,5.9,2.5,1.0,0.6,0.1,0.6
33,2,15.7,4.9,2.4,1.0,0.3,1.5
34,3,7.3,3.9,1.3,0.6,0.5,1.0
35,25,6.8,3.0,1.0,0.7,0.1,0.7
36,1,5.3,5.0,0.7,0.4,1.0,0.7
37,14,8.6,6.5,0.9,0.2,0.7,1.5
38,21,19.1,4.6,10.2,1.9,0.2,2.3
39,14,6.8,1.5,1.0,0.7,0.1,0.8
40,5,13.5,3.1,1.1,0.9,0.4,1.0
41,13,5.5,5.5,1.2,0.6,1.1,1.0
