Player_id,Team_id,PTS,RPG,AST,STL,BLK,TOV
2,28,7.1,1.5,2.6,0.4,0.1,1.2
3,3,9.2,6.5,1.6,0.8,0.7,0.8
5,23,15.2,7.3,3.2,0.8,1.5,1.3
10,24,9.0,7.6,1.2,0.5,0.8,1.9
12,19,6.0,4.6,0.5,0.3,0.6,0.9
13,14,10.2,6.1,1.7,0.9,0.6,1.5
14,14,10.3,2.7,1.2,0.8,0.2,0.8
15,19,4.5,3.4,1.0,0.9,0.2,0.8
17,26,7.3,6.4,1.7,0.7,1.1,1.2
20,12,16.2,14.8,0.8,1.5,1.4,1.9
21,15,7.0,4.0,3.4,1.1,0.3,1.2
23,8,4.8,3.6,0.7,0.8,0.6,0.5
26,15,5.4,7.0,2.3,0.5,1.6,1.2
30,19,24.3,10.3,1.9,1.3,2.0,2.0
31,8,5.6,0.9,0.4,0.3,0.1,0.3
35,12,6.3,4.7,0.6,0.3,0.6,0.8
36,13,12.8,3.7,2.0,0.4,0.1,1.2
38,21,8.9,1.9,1.5,0.7,0.1,0.9
39,26,15.2,2.9,2.1,1.5,0.3,1.4
41,11,7.8,2.2,1.2,0.8,0.1,1.5
44,18,5.5,8.0,0.4,0.2,1.6,0.9
46,6,11.2,3.2,1.3,0.4,0.1,1.5
47,4,6.4,3.1,2.3,0.3,0.3,1.3
50,22,7.2,4.3,1.1,0.5,0.8,0.6
54,15,4.2,2.5,0.8,0.3,0.3,0.5
57,6,20.6,7.8,2.0,0.8,1.7,2.4
64,13,21.8,7.7,4.2,0.9,0.5,2.4
67,2,13.7,4.7,2.8,0.8,0.3,1.6
68,17,6.1,3.3,1.0,0.4,0.4,0.6
70,24,4.1,2.3,1.0,0.5,0.2,0.7
75,29,2.9,1.9,0.6,0.5,0.3,0.6
77,21,19.5,4.2,10.0,2.1,0.2,2.6
79,14,20.8,3.2,4.3,1.2,0.3,2.5
80,5,11.8,2.7,1.0,0.8,0.5,1.1
83,27,7.0,6.4,0.6,0.8,1.2,0.8
85,21,5.5,4.8,0.8,0.8,1.1,1.1
86,27,7.2,2.4,1.3,1.0,0.2,1.0
88,18,8.5,2.6,3.1,0.8,0.3,1.3
89,20,9.6,2.6,1.7,1.1,0.4,0.9
90,16,7.5,1.5,3.2,0.6,0.1,1.4
92,14,25.1,4.0,6.8,0.9,0.4,3.2
96,4,7.2,3.8,1.8,1.0,0.8,0.9
97,19,6.1,3.0,1.0,0.5,0.4,0.5
101,16,7.5,4.2,1.4,0.8,0.7,0.9
102,11,14.0,2.3,4.3,1.0,0.1,1.8
106,4,7.1,4.0,1.8,0.6,0.7,0.9
107,21,12.7,13.8,1.2,0.7,2.3,1.4
109,18,23.5,4.5,4.0,1.0,0.3,2.2
110,11,26.9,11.5,3.3,1.6,1.4,3.8
112,23,11.0,2.6,4.4,0.9,0.1,2.3
114,29,16.4,8.1,1.5,1.2,1.5,1.7
115,28,16.4,3.4,4.7,0.7,0.2,2.7
117,2,7.6,2.2,1.8,0.9,0.2,1.0
119,3,4.4,3.9,0.2,0.4,0.8,0.6
121,2,18.3,6.5,1.8,0.7,0.7,1.1
122,6,7.0,2.8,4.4,0.5,0.1,1.3
125,28,9.4,2.4,0.7,0.2,0.1,0.7
126,15,14.0,9.5,7.4,1.5,1.4,3.2
130,27,13.7,11.8,1.4,1.0,1.6,2.3
131,2,5.8,4.0,0.6,0.5,0.3,0.6
135,14,6.5,7.4,1.1,0.7,0.9,0.8
137,3,10.7,3.6,6.4,1.2,0.3,2.4
141,8,12.7,8.1,0.4,0.3,0.4,1.4
145,3,10.4,5.4,0.9,0.7,0.4,1.0
146,28,7.5,2.3,1.7,0.6,0.3,0.9
147,3,15.4,2.8,2.7,1.2,0.0,1.7
148,26,10.5,4.9,4.4,1.0,0.3,2.1
153,7,7.3,2.7,1.8,0.9,0.2,0.8
154,16,12.3,2.9,1.9,1.3,0.2,1.3
156,5,12.1,4.0,3.5,1.1,0.2,1.4
157,1,8.9,2.4,0.8,0.6,0.3,0.7
158,14,8.7,2.9,1.0,0.5,0.3,0.9
160,10,16.9,7.7,4.3,1.2,1.4,2.6
165,1,14.1,3.8,5.8,1.0,0.2,2.6
166,29,19.7,5.0,3.7,1.2,0.3,2.5
167,25,10.1,7.1,1.7,1.1,1.2,1.7
169,10,15.3,8.8,2.3,0.9,0.8,1.6
173,15,11.7,4.9,1.8,0.6,0.2,0.9
179,15,3.6,1.0,1.0,0.3,0.2,0.7
180,5,9.3,7.1,1.5,0.9,1.1,1.4
182,30,11.0,2.3,1.8,0.7,0.2,1.2
183,26,22.2,3.0,6.2,1.1,0.1,2.7
185,2,10.9,2.1,4.1,0.4,0.0,1.5
189,26,14.2,5.1,1.8,1.7,0.5,1.1
192,21,14.2,1.8,2.3,0.7,0.2,1.4
195,27,29.0,6.1,7.5,1.7,0.6,4.6
200,9,7.4,4.8,0.9,0.6,0.4,1.1
203,7,7.9,3.5,2.1,0.9,0.2,1.0
204,26,10.3,8.3,2.3,0.9,0.6,1.3
215,21,11.7,4.2,1.7,0.7,0.5,1.2
216,23,15.7,2.7,5.9,1.2,0.3,2.8
219,30,9.7,4.7,1.8,0.7,1.6,1.4
222,20,8.8,3.8,1.2,0.6,0.5,0.8
223,20,11.7,3.2,3.0,0.7,0.5,1.9
228,28,20.9,5.3,4.8,1.6,0.6,2.0
230,21,16.3,1.9,1.4,0.6,0.1,1.0
234,29,4.2,1.9,1.2,0.7,0.0,0.8
235,1,12.2,3.6,3.9,0.8,0.0,2.0
239,16,7.9,4.9,0.9,0.2,0.3,0.9
245,10,3.0,2.7,0.5,0.3,0.1,0.5
246,24,8.5,5.6,1.1,0.6,0.4,1.1
247,26,4.4,3.7,0.8,0.3,0.3,0.7
248,18,12.8,9.1,0.7,0.4,1.3,1.4
250,22,15.5,4.0,2.4,1.1,0.1,1.7
253,5,8.8,6.2,1.2,0.5,0.5,1.3
255,13,7.6,3.2,4.1,0.9,0.1,1.2
258,17,12.4,2.8,1.7,1.1,0.3,0.8
259,19,16.8,3.0,6.0,1.4,0.3,2.6
260,22,11.3,10.2,1.8,0.7,0.4,1.8
265,4,21.2,6.8,2.6,1.8,1.0,1.5
266,26,10.0,4.1,1.5,0.8,0.5,1.1
267,20,20.9,4.4,5.2,1.6,0.5,2.1
270,16,12.5,8.7,1.2,0.5,0.9,1.4
271,23,11.6,5.1,2.3,1.3,0.5,1.8
272,12,14.5,3.7,1.8,1.4,0.2,1.4
274,8,28.2,8.2,5.0,1.0,1.2,3.5
276,17,16.0,9.9,2.4,0.8,0.5,1.8
279,10,18.2,3.8,4.2,1.7,0.2,2.3
282,15,22.1,3.8,2.1,0.8,0.6,1.7
283,22,17.6,3.7,2.8,0.9,0.2,2.0
284,11,6.8,5.4,0.4,0.5,0.9,0.6
287,4,4.5,3.1,1.6,0.8,0.4,0.8
288,23,9.2,3.3,2.1,0.8,0.4,1.2
289,18,21.2,4.7,6.4,2.1,0.4,2.9
290,13,4.8,3.8,1.1,0.3,0.8,0.9
291,8,3.4,2.1,0.4,0.4,0.1,0.5
293,4,18.0,8.5,1.5,0.5,1.1,1.3
294,9,8.3,3.2,1.9,0.6,0.1,1.4
297,13,7.6,3.5,2.5,0.9,0.3,0.7
300,5,5.4,5.4,1.0,0.3,0.5,0.9
301,15,6.4,1.7,1.2,0.6,0.1,0.8
302,17,25.3,7.4,6.8,1.4,0.6,3.3
306,22,15.3,2.5,2.5,0.9,0.3,1.6
307,21,3.1,2.3,0.4,0.6,0.3,0.5
309,18,8.7,4.7,0.9,0.6,0.4,0.9
312,1,12.3,6.0,1.9,1.0,0.4,1.1
314,4,9.6,2.5,3.1,1.1,0.2,1.7
316,7,13.5,9.9,1.4,0.6,1.3,1.6
317,11,10.2,1.7,1.9,0.5,0.0,1.2
318,12,14.1,5.1,2.5,0.8,0.3,1.8
319,26,9.1,4.2,3.0,1.5,0.3,1.3
321,1,10.3,2.6,3.8,1.4,0.2,1.8
322,6,5.9,2.0,1.5,0.6,0.2,0.9
323,7,12.0,5.5,1.9,0.9,0.5,2.1
324,15,7.1,3.3,0.8,0.3,0.5,0.9
326,20,11.7,6.4,1.4,0.7,1.0,0.8
327,14,9.1,7.7,2.8,0.8,1.0,1.9
328,9,10.0,5.5,2.1,1.0,0.8,1.6
330,17,7.5,2.1,4.4,0.6,0.1,1.5
331,14,6.4,3.6,0.9,0.6,0.4,0.8
332,14,8.4,5.1,1.5,0.1,0.3,1.3
339,23,3.3,2.0,0.6,0.2,0.5,0.5
340,23,6.2,2.7,1.0,0.3,0.2,0.6
341,10,5.1,3.8,0.3,0.3,0.8,0.7
346,5,13.8,3.3,4.7,1.9,0.5,2.5
351,30,11.1,8.1,1.8,1.8,1.5,2.4
353,8,2.1,2.9,0.9,0.3,0.3,0.8
356,20,14.9,6.1,5.8,0.9,0.6,2.9
357,30,8.5,2.5,1.9,0.6,0.3,1.3
358,28,11.8,5.5,1.5,0.9,0.7,1.5
360,3,18.2,8.9,2.8,0.8,1.1,1.9
361,14,3.6,3.9,0.4,0.3,0.3,0.6
365,19,4.0,6.1,0.4,0.3,0.3,0.9
366,11,11.8,5.9,1.4,0.8,0.2,1.4
367,7,11.6,5.2,1.6,1.4,0.4,0.9
368,21,2.5,1.9,2.2,0.9,0.0,0.8
369,27,9.9,3.5,3.4,1.3,0.4,1.3
372,4,8.5,2.0,2.8,0.7,0.1,0.9
373,28,16.5,11.0,4.1,0.6,2.0,2.3
374,5,23.1,7.0,4.1,1.9,0.4,3.3
375,23,17.1,9.0,3.3,1.8,1.7,2.4
376,21,6.1,2.7,1.0,0.5,0.3,0.9
382,11,5.2,3.2,0.5,0.5,0.4,0.5
385,11,11.9,6.0,11.7,2.0,0.1,3.9
386,7,9.9,2.5,2.9,0.6,0.1,1.4
387,8,5.9,1.9,2.0,0.5,0.4,1.1
390,2,9.5,3.2,3.6,0.9,0.2,1.5
393,12,18.8,3.2,6.2,0.7,0.1,2.8
395,17,5.5,1.7,0.8,0.4,0.2,0.6
397,25,10.1,4.3,8.7,2.1,0.1,2.5
399,30,12.8,6.3,1.4,1.6,0.6,2.1
401,13,10.3,7.3,1.4,0.2,1.6,1.6
402,29,14.5,3.4,2.7,0.9,0.2,1.6
403,5,8.9,2.7,2.4,0.7,0.1,1.3
404,24,5.3,1.6,2.4,1.2,0.2,1.1
406,22,5.9,4.9,1.2,0.4,1.4,0.9
407,11,17.2,6.5,1.7,1.4,0.7,2.0
408,29,9.1,11.0,1.5,0.7,2.2,1.9
411,19,17.0,6.0,1.1,0.6,0.4,1.4
417,8,12.6,6.8,0.8,0.5,1.9,1.4
420,25,10.5,3.3,0.6,0.3,0.1,0.9
422,6,7.3,2.3,4.4,1.2,0.2,1.9
424,15,6.3,2.2,3.0,0.7,0.3,1.0
431,5,4.2,2.8,1.0,0.6,0.2,0.6
434,15,30.1,5.4,6.7,2.1,0.2,3.3
435,12,4.4,1.5,3.4,0.4,0.1,1.4
437,8,8.0,6.7,0.8,0.5,1.1,1.1
438,28,8.6,6.9,1.5,0.6,1.1,1.1
440,25,2.9,1.9,1.0,0.5,0.2,0.4
442,18,9.9,2.5,0.8,0.7,0.3,0.6
443,23,6.4,4.5,1.4,1.1,0.5,0.9
447,4,8.6,7.3,2.7,0.8,1.3,1.5
450,17,6.3,4.4,0.4,0.3,0.8,0.9
452,12,14.7,6.7,2.2,0.9,0.5,1.4
453,19,8.7,2.3,2.6,1.1,0.1,1.0
454,9,8.4,4.6,1.1,1.7,0.3,1.2
455,4,11.9,2.4,5.3,0.8,0.2,1.8
456,28,5.3,3.1,1.0,0.3,0.3,0.8
460,27,12.7,4.5,2.3,2.0,0.3,1.4
461,29,5.9,5.7,1.1,0.7,0.5,1.0
462,29,10.6,1.8,2.3,0.5,0.1,1.3
465,5,5.7,1.8,3.6,0.8,0.1,1.4
472,24,7.2,8.7,1.0,0.5,0.7,1.4
476,3,16.0,4.8,3.9,1.6,0.8,2.1
477,9,6.6,2.4,0.9,0.6,0.3,0.6
478,6,7.7,2.3,1.1,0.6,0.1,0.6
479,21,6.9,3.1,0.6,1.1,0.7,0.7
480,2,12.5,3.1,1.9,1.0,0.2,1.0
481,16,14.4,5.8,2.5,0.9,0.5,1.7
487,25,14.0,2.8,3.1,0.8,0.2,1.9
488,9,15.3,7.8,2.1,0.6,0.2,1.5
489,2,8.6,9.4,1.7,0.8,0.3,1.6
